title,price,image_urls
Women PU  Leather Flat Shoes -  Brown,1600,"https://ke.jumia.is/e5zcJhQxA4lL_5duvnIXoIgkk58=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/41945/1.jpg?1617"
WLow-Cut Hitops Canvas Shoes Unisex Canvas Sneaker Shoes Casual Trainers For Men And Women-Blue,895,"https://ke.jumia.is/fkWu9BvJZv0P9RNN8GHIl1sX46Q=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/21/28535/1.jpg?6517"
Royal Blue Long Sleeveless Scuba Coat,1200,"https://ke.jumia.is/ZQdmjElxiu6WAlNiwu-EFyEzToc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/35/75845/1.jpg?6041"
Seamless tummy control shaper/waist slimming shaper panty,878,"https://ke.jumia.is/ym_CwLFH_ppTztFtZTeCHO4JHcE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/48/2637/1.jpg?0801"
Plain black unisex round neck t-shirt,1140,"https://ke.jumia.is/Qz08eeGiwe0r1Tb2IMAkxHxrsB8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/38/20875/1.jpg?2581"
Ladies Pull Neck Red Tops,1111,"https://ke.jumia.is/4RAxQ_dfw1NOm7Z9gmruo3gadFs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/52/57845/1.jpg?1917"
Air Mesh Lady Training Dance Shoes Light Weight Sport Shoes For Women (White),3300,"https://ke.jumia.is/pLMwunB9ALtsfocE238j1DBn4_A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/82/68292/1.jpg?6314"
Lady’s sued Red high hill shoes,2338,"https://ke.jumia.is/6yYUpVwEUIp_kdTS2bjDWk4_UNo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/25/08455/1.jpg?7900"
Black Suede Ballerinas,473,"https://ke.jumia.is/MQ5dXHhhFk_Ry3A0KzOSKPRTFtE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/29/04774/1.jpg?8011"
Women Boyfriend Casual Shoes,676,"https://ke.jumia.is/0hv5KcGGwTHJS6xpDjYrhUA2ivo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/16/57845/1.jpg?2641"
Sexy Lingerie G-string Knickers Underwear Open Crotch Thongs Panties,1275,"https://ke.jumia.is/szQY8JY73mYWV9n6SWJRXQti7bk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/25/49972/1.jpg?2239"
ZANZEA Women Autumn Turtleneck Long Sleeve Casual Slim Solid Pencil Party Dresses Wine Red,2499,"https://ke.jumia.is/H_Pc9GK0LD8k2ZV0O7ozEjOtYzs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/06/55294/1.jpg?6200"
ZANZEA Women Fashion Lace Crochet Long Sleeve Blouses Beach Open Kimono Cardigan Long Tops Plus Size Blusas Femininas(Wine Red),508,"https://ke.jumia.is/HKBBBlUp9V1rkXe8IHMQfZ079Uo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/04/63825/1.jpg?7339"
"Butt Enhancer Waist Trainer Sauna Sweat Belt Cotton Postpartum Sports Body Shaping Belt Body Shaping Underwear Beam Band, Size: XL(Blue)",726,"https://ke.jumia.is/B7ORqO5o4AYtc5LorKOPB8h5iko=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/58/26675/1.jpg?7539"
Three piece Handbag,551,"https://ke.jumia.is/wYjBPH6GS8iEj796R3NjSbKrxW4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/50/46625/1.jpg?8257"
